"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Japan","Conventional crude oil - imports","2016","Metric tons,  thousand","155851",""
"Japan","Conventional crude oil - imports","2015","Metric tons,  thousand","157858",""
"Korea, Republic of","Conventional crude oil - imports","2024","Metric tons,  thousand","137014.06",""
"Korea, Republic of","Conventional crude oil - imports","2023","Metric tons,  thousand","135474.9",""
"Korea, Republic of","Conventional crude oil - imports","2022","Metric tons,  thousand","136514.448",""
"Korea, Republic of","Conventional crude oil - imports","2021","Metric tons,  thousand","129409.214",""
"Korea, Republic of","Conventional crude oil - imports","2020","Metric tons,  thousand","132462.276",""
"Korea, Republic of","Conventional crude oil - imports","2019","Metric tons,  thousand","144554.923",""
"Korea, Republic of","Conventional crude oil - imports","2018","Metric tons,  thousand","150281",""
"Korea, Republic of","Conventional crude oil - imports","2017","Metric tons,  thousand","150613",""
"Korea, Republic of","Conventional crude oil - imports","2016","Metric tons,  thousand","145537",""
"Korea, Republic of","Conventional crude oil - imports","2015","Metric tons,  thousand","138751",""
"Malaysia","Conventional crude oil - imports","2023","Metric tons,  thousand","14609.904",""
"Malaysia","Conventional crude oil - imports","2022","Metric tons,  thousand","10963.908",""
"Malaysia","Conventional crude oil - imports","2021","Metric tons,  thousand","6442.364",""
"Malaysia","Conventional crude oil - imports","2020","Metric tons,  thousand","6847.343",""
"Malaysia","Conventional crude oil - imports","2019","Metric tons,  thousand","10125.921",""
"Malaysia","Conventional crude oil - imports","2018","Metric tons,  thousand","8927",""
"Malaysia","Conventional crude oil - imports","2017","Metric tons,  thousand","9793",""
"Malaysia","Conventional crude oil - imports","2016","Metric tons,  thousand","10488",""
"Malaysia","Conventional crude oil - imports","2015","Metric tons,  thousand","8097",""
"Mexico","Conventional crude oil - imports","2018","Metric tons,  thousand","192",""
"Pakistan","Conventional crude oil - imports","2023","Metric tons,  thousand","9054.535",""
"Pakistan","Conventional crude oil - imports","2022","Metric tons,  thousand","7823.318",""
"Pakistan","Conventional crude oil - imports","2021","Metric tons,  thousand","9279.38",""
"Pakistan","Conventional crude oil - imports","2020","Metric tons,  thousand","8815.377",""
"Pakistan","Conventional crude oil - imports","2019","Metric tons,  thousand","6677.363",""
"Pakistan","Conventional crude oil - imports","2018","Metric tons,  thousand","9009.241",""
"Pakistan","Conventional crude oil - imports","2017","Metric tons,  thousand","10404.5",""
"Pakistan","Conventional crude oil - imports","2016","Metric tons,  thousand","8368",""
"Pakistan","Conventional crude oil - imports","2015","Metric tons,  thousand","5928",""
"Philippines","Conventional crude oil - imports","2023","Metric tons,  thousand","6486.5",""
"Philippines","Conventional crude oil - imports","2022","Metric tons,  thousand","5921.2",""
"Philippines","Conventional crude oil - imports","2021","Metric tons,  thousand","4055.9",""
"Philippines","Conventional crude oil - imports","2020","Metric tons,  thousand","4500.3",""
"Philippines","Conventional crude oil - imports","2019","Metric tons,  thousand","8287.7",""
"Philippines","Conventional crude oil - imports","2018","Metric tons,  thousand","11702.2",""
"Philippines","Conventional crude oil - imports","2017","Metric tons,  thousand","10589.6",""
"Philippines","Conventional crude oil - imports","2016","Metric tons,  thousand","10742.8",""
"Philippines","Conventional crude oil - imports","2015","Metric tons,  thousand","10643.6",""
"Poland","Conventional crude oil - imports","2024","Metric tons,  thousand","25522.757",""
"Poland","Conventional crude oil - imports","2023","Metric tons,  thousand","24493.09",""
"Poland","Conventional crude oil - imports","2022","Metric tons,  thousand","26290.806",""
"Poland","Conventional crude oil - imports","2021","Metric tons,  thousand","23619.551",""
"Poland","Conventional crude oil - imports","2020","Metric tons,  thousand","24905.809",""
"Poland","Conventional crude oil - imports","2019","Metric tons,  thousand","26622.005",""
"Poland","Conventional crude oil - imports","2018","Metric tons,  thousand","26846.869",""
"Poland","Conventional crude oil - imports","2017","Metric tons,  thousand","24647.77",""
"Poland","Conventional crude oil - imports","2016","Metric tons,  thousand","24573",""
"Poland","Conventional crude oil - imports","2015","Metric tons,  thousand","26492",""
"South Africa","Conventional crude oil - imports","2023","Metric tons,  thousand","7261.813",""
"South Africa","Conventional crude oil - imports","2022","Metric tons,  thousand","6157.357",""
"South Africa","Conventional crude oil - imports","2021","Metric tons,  thousand","11604",""
"South Africa","Conventional crude oil - imports","2020","Metric tons,  thousand","13188",""
"South Africa","Conventional crude oil - imports","2019","Metric tons,  thousand","18207.303",""
"South Africa","Conventional crude oil - imports","2018","Metric tons,  thousand","20275.861",""
"South Africa","Conventional crude oil - imports","2017","Metric tons,  thousand","17103",""
"South Africa","Conventional crude oil - imports","2016","Metric tons,  thousand","20818",""
"South Africa","Conventional crude oil - imports","2015","Metric tons,  thousand","19667",""
"Spain","Conventional crude oil - imports","2024","Metric tons,  thousand","64588.153",""
"Spain","Conventional crude oil - imports","2023","Metric tons,  thousand","61558.654",""
"Spain","Conventional crude oil - imports","2022","Metric tons,  thousand","63691.533",""
"Spain","Conventional crude oil - imports","2021","Metric tons,  thousand","56171.787",""
"Spain","Conventional crude oil - imports","2020","Metric tons,  thousand","54855",""
"Spain","Conventional crude oil - imports","2019","Metric tons,  thousand","66303",""
"Spain","Conventional crude oil - imports","2018","Metric tons,  thousand","67586",""
"Spain","Conventional crude oil - imports","2017","Metric tons,  thousand","65958",""
"Spain","Conventional crude oil - imports","2016","Metric tons,  thousand","64171",""
"Spain","Conventional crude oil - imports","2015","Metric tons,  thousand","64726",""
