Date,Year,Month,Italy_price,Italy_daily_pct,Italy_cumul_pct,Italy_index,Italy_log_return,Canada_price,Canada_daily_pct,Canada_cumul_pct,Canada_index,Canada_log_return,Indonesia_price,Indonesia_daily_pct,Indonesia_cumul_pct,Indonesia_index,Indonesia_log_return,China_price,China_daily_pct,China_cumul_pct,China_index,China_log_return,India_price,India_daily_pct,India_cumul_pct,India_index,India_log_return,France_price,France_daily_pct,France_cumul_pct,France_index,France_log_return,Japan_price,Japan_daily_pct,Japan_cumul_pct,Japan_index,Japan_log_return,Australia_price,Australia_daily_pct,Australia_cumul_pct,Australia_index,Australia_log_return,Poland_price,Poland_daily_pct,Poland_cumul_pct,Poland_index,Poland_log_return,Germany_price,Germany_daily_pct,Germany_cumul_pct,Germany_index,Germany_log_return,Brazil_price,Brazil_daily_pct,Brazil_cumul_pct,Brazil_index,Brazil_log_return
2016-03-01,2016,3,,,,,,6818.5,,0.0,100.0,0.0,,,,,,238.85000610351562,,0.0,100.0,0.0,,,,,,2012.5,,0.0,100.0,0.0,,,,,,1802.75,,0.0,100.0,0.0,1084.0,,0.0,100.0,0.0,9540.9697265625,,0.0,100.0,0.0,1644.25,,0.0,100.0,0.0
2016-03-02,2016,3,,,,,,6722.0,-0.014152672875265782,-0.014152672875265782,98.58473271247342,-0.014253777012837589,,,,,,249.75,0.04563530926501391,0.04563530926501391,104.56353092650139,0.044624652138932255,,,,,,1997.0,-0.0077018633540372194,-0.0077018633540372194,99.22981366459628,-0.007731675876903172,,,,,,1836.5,0.01872139786437388,0.01872139786437388,101.87213978643739,0.018548309462853102,1078.25,-0.00530442804428044,-0.00530442804428044,99.46955719557195,-0.005318546471639,9599.330078125,0.006116815505663231,0.006116815505663231,100.61168155056632,0.006098183729188081,1683.75,0.02402311084080888,0.02402311084080888,102.40231108408089,0.023739095543113344
2016-03-03,2016,3,,,,,,6776.0,0.008033323415649996,-0.0062330424580185895,99.37669575419814,-0.006252548965998243,,,,,,245.64999389648438,-0.016416440854917447,0.028469699054651354,102.84696990546513,0.02807196837853644,,,,,,1995.5,-0.0007511266900350755,-0.008447204968944133,99.15527950310559,-0.00848308480392989,,,,,,1862.5,0.01415736455213712,0.0331438080710027,103.31438080710026,0.03260639445684574,1097.0,0.017389288198469632,0.011992619926199266,101.19926199261992,0.011921278275638731,9575.0498046875,-0.002529371658219204,0.0035719721476654698,100.35719721476654,0.0035656078061513607,1731.25,0.02821083890126208,0.0529116618519081,105.2911661851908,0.05155933775418817
2016-03-04,2016,3,,,,,,6847.5,0.010551948051948035,0.00425313485370693,100.4253134853707,0.004244115839344725,,,,,,251.5500030517578,0.024017949529278937,0.05317143237893873,105.31714323789387,0.051806023679410736,,,,,,2020.5,0.012528188423953868,0.003975155279503095,100.3975155279503,0.00396727522580992,,,,,,1892.25,0.015973154362416198,0.04964637359589519,104.96463735958952,0.04845332039240794,1108.0,0.010027347310847867,0.022140221402213944,102.21402214022139,0.021898685307637524,9645.98046875,0.0074078637197037,0.011006296550249539,101.10062965502496,0.010946168060730043,1904.75,0.10021660649819486,0.15843089554508127,115.84308955450813,0.14706641317165856
2016-03-07,2016,3,,,,,,6939.5,0.013435560423512127,0.017745838527535307,101.77458385275354,0.017590219498005814,,,,,,252.14999389648438,0.002385175263158734,0.05568343082731442,105.56834308273145,0.05418835892711141,,,,,,2008.5,-0.005939123979213035,-0.0019875776397515477,99.80124223602485,-0.001989555493381542,,,,,,1917.5,0.01334390276126296,0.06365275273887128,106.36527527388712,0.06170897744454245,1118.0,0.00902527075812265,0.03136531365313644,103.13653136531364,0.03088347171545286,9601.48046875,-0.004613320558150225,0.0063422004179549685,100.6342200417955,0.006322173297622217,1894.5,-0.005381283633022704,0.1521970503268968,115.21970503268967,0.1416705982771951
2016-03-08,2016,3,,,,,,6882.0,-0.008285899560487087,0.009312898731392627,100.93128987313926,0.00926980105953718,,,,,,245.5500030517578,-0.026174860220048557,0.028051064588788366,102.80510645887884,0.027664839523777067,,,,,,2003.0,-0.002738361961662883,-0.004720496894409898,99.527950310559,-0.0047316736269001425,,,,,,1890.0,-0.014341590612777066,0.04839828040493699,104.8398280404937,0.04726355225681924,1114.0,-0.003577817531305927,0.027675276752767486,102.76752767527675,0.02729923848763777,9516.919921875,-0.008807032118663294,-0.002520687663492338,99.74793123365076,-0.0025238699454582093,1870.0,-0.012932172077065207,0.13729663980538231,113.72966398053823,0.12865407766717185
2016-03-09,2016,3,,,,,,7004.0,0.017727404824179116,0.02720539708146963,102.72053970814696,0.026841908107853963,,,,,,243.75,-0.007330494927252795,0.020514941474863324,102.05149414748634,0.02030734448822581,,,,,,2008.0,0.0024962556165750716,-0.002236024844720519,99.77639751552795,-0.002238528481098643,,,,,,1933.75,0.02314814814814814,0.07266675911801412,107.26667591180141,0.07014784609040695,1116.25,0.0020197486535009634,0.029750922509225175,102.97509225092251,0.029316950191117363,9546.6201171875,0.0031207781042932314,0.0005922239339328783,100.05922239339328,0.0005920486385449185,1919.0,0.02620320855614966,0.16709746084841104,116.7097460848411,0.15451986382623945
2016-03-10,2016,3,,,,,,6843.0,-0.022986864648772087,0.0035931656522696365,100.35931656522696,0.003586725654609196,,,,,,244.25,0.002051282051282133,0.0226083054573758,102.26083054573758,0.02235652553316131,,,,,,1998.5,-0.004731075697211207,-0.006956521739130417,99.30434782608695,-0.006980831141340205,,,,,,1894.5,-0.020297349709114454,0.05089446678685339,105.08944667868533,0.04964167466178655,1114.75,-0.0013437849944009095,0.02836715867158679,102.83671586715867,0.027972261507994586,9325.75,-0.023135949108297638,-0.022557426837160888,97.7442573162839,-0.022815737530905187,1898.25,-0.01081292339760287,0.15447772540672045,115.44777254067205,0.1436480559118828
2016-03-11,2016,3,,,,,,6979.0,0.019874324126844867,0.023538901517929256,102.35389015179292,0.023266133719263123,,,,,,246.64999389648438,0.00982597296411214,0.032656427019676526,103.26564270196765,0.032134537544361956,,,,,,2039.0,0.02026519889917444,0.013167701863354031,101.3167701863354,0.013081761281736734,,,,,,1937.25,0.0225653206650831,0.07460823741506029,107.46082374150603,0.07195616484719063,1141.25,0.02377214622112578,0.0528136531365313,105.28136531365313,0.05146624990958665,9652.650390625,0.03505352283998597,0.011705378725977544,101.17053787259775,0.01163740073823739,1966.0,0.035690767812458946,0.19568192184886724,119.56819218488673,0.17871666852565143
2016-03-14,2016,3,,,,,,6969.5,-0.0013612265367530796,0.022145633203783932,102.21456332037839,0.02190397987205258,,,,,,239.10000610351562,-0.030610127629426942,0.0010466819912562375,100.10466819912563,0.0010461346015894675,,,,,,2047.5,0.004168710152035349,0.017391304347825987,101.7391304347826,0.017241806434505954,,,,,,1922.25,-0.007742934572202875,0.06628761614200518,106.62876161420051,0.0641830981154212,1147.0,0.00503833515881702,0.05811808118081174,105.81180811808117,0.05649193512977911,9808.8203125,0.01617896800931251,0.028073727683234573,102.80737276832346,0.02768688399747079,1949.25,-0.008519837232960348,0.1854949064923217,118.54949064923217,0.1701603300082489
2016-03-15,2016,3,,,,,,6917.5,-0.007461080421838018,0.014519322431619797,101.45193224316198,0.01441492636319231,,,,,,240.39999389648438,0.005437004432387704,0.0064893772382697,100.64893772382698,0.0064684118823212875,,,,,,2058.0,0.00512820512820511,0.022608695652173827,102.26086956521738,0.022356907101276396,,,,,,1897.75,-0.012745480556639377,0.052697268062682046,105.26972680626821,0.051355697100008715,1148.75,0.0015257192676547682,0.05973247232472323,105.97324723247232,0.058016491670305266,9753.419921875,-0.0056480176881616995,0.02226714908454519,102.22671490845453,0.02202285594439678,1820.25,-0.06617929973066561,0.10703968374638895,110.70396837463889,0.10168950109336007
