country_name,country_code,ticker,etf_price_field,year,etf_price_start,etf_price_end,etf_return_pct,gdp_current_usd,gdp_real_growth_pct,etf_minus_gdp_growth_pct
Australia,AUS,SAUS.L,Close,2015,1934.5,1829.25,-5.440682346859649,1233914000000.0,2.34,-7.780682346859649
Australia,AUS,SAUS.L,Close,2016,1785.25,2430.75,36.157400924240314,1262645000000.0,2.694,33.46340092424031
Australia,AUS,SAUS.L,Close,2017,2468.0,2655.5,7.597244732576991,1381106000000.0,2.38,5.217244732576991
Australia,AUS,SAUS.L,Close,2018,2642.25,2459.5,-6.916453779922415,1417158000000.0,2.791,-9.707453779922416
Australia,AUS,SAUS.L,Close,2019,2470.25,2901.5,17.4577471915798,1386289000000.0,1.936,15.521747191579799
Australia,AUS,SAUS.L,Close,2020,2930.0,3067.5,4.692832764505117,1362665000000.0,-1.953,6.645832764505117
Australia,AUS,SAUS.L,Close,2021,3091.0,4537.0,46.78097703008734,1655838000000.0,5.418,41.36297703008734
Australia,AUS,SAUS.L,Close,2022,4625.5,4287.5,-7.307318127769968,1725433000000.0,4.132,-11.439318127769969
Australia,AUS,SAUS.L,Close,2023,4231.5,4880.5,15.337350821221785,1742311000000.0,2.066,13.271350821221784
Australia,AUS,SAUS.L,Close,2024,4859.0,3954.5,-18.61494134595596,1795492000000.0,1.023,-19.63794134595596
Australia,AUS,SAUS.L,Close,2025,4031.0,4201.0,4.217315802530397,1829508000000.0,1.809,2.408315802530397
Australia,AUS,SAUS.L,Close,2026,4182.0,4765.5,13.952654232424688,1948227000000.0,2.149,11.803654232424687
Brazil,BRA,XMBR.L,Close,2015,2433.75,1511.75,-37.88392398561891,1800046000000.0,-3.546,-34.33792398561891
Brazil,BRA,XMBR.L,Close,2016,1473.25,3024.5,105.29441710503988,1796622000000.0,-3.276,108.57041710503988
Brazil,BRA,XMBR.L,Close,2017,3094.5,3414.0,10.3247697527872,2063519000000.0,1.323,9.0017697527872
Brazil,BRA,XMBR.L,Close,2018,3489.25,3574.5,2.4432184566884008,1916934000000.0,1.784,0.6592184566884007
Brazil,BRA,XMBR.L,Close,2019,3785.5,4303.5,13.683793422269176,1873286000000.0,1.221,12.462793422269176
Brazil,BRA,XMBR.L,Close,2020,4383.5,3358.5,-23.383141325424894,1476092000000.0,-3.277,-20.106141325424893
Brazil,BRA,XMBR.L,Close,2021,3345.0,2783.5,-16.786248131539615,1670650000000.0,4.763,-21.549248131539613
Brazil,BRA,XMBR.L,Close,2022,2701.0,3503.0,29.692706405035164,1951849000000.0,3.017,26.675706405035164
Brazil,BRA,XMBR.L,Close,2023,3328.0,4393.5,32.01622596153846,2191137000000.0,3.242,28.77422596153846
Brazil,BRA,XMBR.L,Close,2024,4361.5,3136.5,-28.086667430929722,2179413000000.0,3.396,-31.482667430929723
Brazil,BRA,XMBR.L,Close,2025,3189.5,4336.5,35.96174949051576,2256910000000.0,2.4,33.56174949051576
Brazil,BRA,XMBR.L,Close,2026,4350.0,5281.0,21.40229885057472,2292690000000.0,1.942,19.46029885057472
Bulgaria,BGR,BGX.L,Close,2018,0.5746999979019165,0.5325000286102295,-7.342956228597242,66318000000.0,2.549,-9.891956228597241
Bulgaria,BGR,BGX.L,Close,2019,0.531499981880188,0.4772500097751617,-10.206956529540479,68639000000.0,3.789,-13.995956529540479
Bulgaria,BGR,BGX.L,Close,2020,0.4772500097751617,0.3878999948501587,-18.721846641154993,70658000000.0,-3.216,-15.505846641154992
Bulgaria,BGR,BGX.L,Close,2021,0.3851499855518341,0.5176500082015991,34.4021881397508,84477000000.0,7.781,26.6211881397508
Bulgaria,BGR,BGX.L,Close,2022,0.5148500204086304,0.4670499861240387,-9.284263841856966,90719000000.0,4.039,-13.323263841856965
Bulgaria,BGR,BGX.L,Close,2023,0.4622499942779541,0.5524500012397766,19.513252153246018,102434000000.0,1.887,17.626252153246018
Bulgaria,BGR,BGX.L,Close,2024,0.5637000203132629,0.6333000063896179,12.346990166449956,112232000000.0,2.811,9.535990166449956
Bulgaria,BGR,BGX.L,Close,2025,0.6273000240325928,0.8014500141143799,27.761833797210045,127924000000.0,3.05,24.711833797210044
Bulgaria,BGR,BGX.L,Close,2026,0.8021000027656555,0.9113500118255616,13.620497280041155,142203000000.0,3.089,10.531497280041155
Canada,CAN,CSCA.L,Close,2015,7859.5,6273.0,-20.185762453082255,1556508000000.0,0.65,-20.835762453082253
Canada,CAN,CSCA.L,Close,2016,6136.0,9362.0,52.57496740547587,1527996000000.0,1.039,51.535967405475866
Canada,CAN,CSCA.L,Close,2017,9402.5,9844.0,4.695559691571383,1649266000000.0,3.034,1.6615596915713828
Canada,CAN,CSCA.L,Close,2018,9797.0,8632.0,-11.891395325099518,1725300000000.0,2.743,-14.634395325099518
Canada,CAN,CSCA.L,Close,2019,8756.5,10514.5,20.07651458916233,1743725000000.0,1.908,18.168514589162328
Canada,CAN,CSCA.L,Close,2020,10585.5,10763.5,1.6815455103679655,1655685000000.0,-5.038,6.719545510367966
Canada,CAN,CSCA.L,Close,2021,10792.5,13546.0,25.513087792448452,2022382000000.0,5.951,19.56208779244845
Canada,CAN,CSCA.L,Close,2022,13554.0,13297.5,-1.8924302788844605,2190411000000.0,4.189,-6.0814302788844605
Canada,CAN,CSCA.L,Close,2023,13292.0,14329.0,7.8016852241949985,2173340000000.0,1.529,6.272685224194999
