country_name,bis_code,current_reer,avg_10y_reer,reer_pct_diff
United Arab Emirates,AE,98.01,101.29573770491805,-3.243707760428819
Argentina,AR,131.91,119.64508196721312,10.251084149156997
Austria,AT,105.87,100.44745901639345,5.398385421299279
Australia,AU,114.14,105.95426229508197,7.725727618319682
Belgium,BE,104.11,99.98172131147541,4.129033421682814
Bulgaria,BG,114.82,102.5722131147541,11.940647972120386
Brazil,BR,111.67,116.33918032786885,-4.013420341032221
Canada,CA,97.02,101.15926229508197,-4.091827284196412
Switzerland,CH,105.64,98.98901639344261,6.71891069219471
Chile,CL,108.4,106.02418032786885,2.240828143904702
China,CN,90.23,97.10434426229506,-7.0793375049485965
Colombia,CO,122.33,105.6618032786885,15.775044722025298
Czech Republic,CZ,126.16,107.54852459016395,17.305188965407893
Germany,DE,101.86,99.63483606557378,2.2333192107243978
Denmark,DK,97.97,98.63868852459015,-0.6779170876987597
Algeria,DZ,110.36,105.45688524590163,4.649402210832808
Spain,ES,103.66,100.45311475409837,3.1924199202302925
Finland,FI,97.58,99.29106557377048,-1.7232825167932249
France,FR,96.27,98.13016393442624,-1.895608709743175
United Kingdom,GB,111.25,103.88237704918032,7.092274127816382
Greece,GR,100.48,100.57442622950819,-0.09388691842269012
Hong Kong,HK,95.48,98.33295081967212,-2.9013172043458764
Hungary,HU,116.39,104.64344262295081,11.2253162573924
Indonesia,ID,91.17,100.12475409836065,-8.943596595067461
Ireland,IE,103.94,100.58967213114757,3.3306877315240833
Israel,IL,108.16,98.06139344262294,10.29824908952154
India,IN,90.51,99.41229508196722,-8.954923608419973
Italy,IT,100.03,99.85245901639345,0.1778033163684028
Japan,JP,67.03,87.91032786885248,-23.751848474507383
South Korea,KR,86.72,99.13106557377047,-12.519854903137823
Morocco,MA,97.39,98.8000819672131,-1.4272072847885282
Mexico,MX,139.69,112.95754098360655,23.665935699036783
Malaysia,MY,108.95,100.33262295081967,8.588808700241335
Netherlands,NL,106.2,100.08672131147542,6.107981766631886
Norway,NO,100.22,102.72073770491804,-2.434501309854113
New Zealand,NZ,102.72,104.06450819672129,-1.2919949558399524
Peru,PE,108.92,99.5794262295082,9.380023689797005
Philippines,PH,98.26,97.67663934426228,0.5972366163025536
Poland,PL,128.38,105.99450819672131,21.11948268275575
Portugal,PT,98.13,99.4217213114754,-1.2992345077476615
Romania,RO,121.36,103.97032786885248,16.72561055408303
Saudi Arabia,SA,99.17,100.35581967213115,-1.181615252613445
Sweden,SE,102.5,100.13688524590162,2.359884420506372
Singapore,SG,116.56,106.31270491803276,9.638824531713228
Thailand,TH,99.47,96.23262295081966,3.364115982617269
Turkey,TR,104.32,105.57352459016393,-1.187347486057809
Taiwan,TW,96.71,98.80049180327869,-2.1158718596675268
United States,US,105.88,102.0962295081967,3.7060824969050588
South Africa,ZA,113.96,106.15229508196721,7.35519181380293
