Date,Year,Month,Australia - SAUS.L - Close,Austria - EWO - Adj Close,Belgium - EWK - Adj Close,Brazil - XMBR.L - Close,Canada - CSCA.L - Close,China_1 - IASH.L - Close,France_1 - ISFR.L - Close,Germany - XDAX.L - Close,Germany_3 - EXS1.DE - Close,Greece_2 - GREK - Adj Close,Hong Kong - EWH - Adj Close,India_5 - LYINR.SW - Close,Indonesia_3 - INDO.PA - Close,Italy_2 - EWI - Adj Close,Japan_2 - CJPU.L - Close,Malaysia - XCX3.L - Close,Mexico - XMEX.L - Close,Netherlands - EWN - Adj Close,Pakistan - XBAK.L - Close,Philippines - XPHG.L - Close,Poland - SPOL.L - Close,Poland_2 - IPOL.L - Close,Saudi Arabia - IKSA.L - Close,Singapore_2 - EWS - Adj Close,South Africa - SRSA.L - Close,South Africa_2 - IRSA.L - Close,South Korea_1 - CSKR.L - Close,Spain_1 - XESP.DE - Close,Sweden_2 - EWD - Adj Close,Switzerland - EWL - Adj Close,Switzerland_2 - CSWG.L - Close,Switzerland_3 - CSW.PA - Close,Taiwan_1 - XMTW.L - Close,Thailand - XCX4.L - Close,Turkey - TUR - Adj Close,Turkey_2 - TURL.L - Close,United Kingdom_1 - CUKX.L - Close,United Kingdom_2 - CSUK.L - Close,United States_1 - CSPX.L - Close,United States_4 - CSUS.L - Close,Vietnam - XFVT.L - Close
1996-03-18,1996,3,,4.758669376373291,4.31714391708374,,,,,,,,5.157961845397949,,,7.950797080993652,,,,7.176872730255127,,,,,,8.937434196472168,,,,,4.386226654052734,6.701600551605225,,,,,,,,,,,
1996-03-19,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.231998920440674,,,7.950797080993652,,,,7.176872730255127,,,,,,9.02680778503418,,,,,4.405894756317139,6.634585857391357,,,,,,,,,,,
1996-03-20,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.182640552520752,,,7.950797080993652,,,,7.176872730255127,,,,,,8.937434196472168,,,,,4.405894756317139,6.634585857391357,,,,,,,,,,,
1996-03-21,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.355393409729004,,,7.950797080993652,,,,7.176872730255127,,,,,,8.937434196472168,,,,,4.405894756317139,6.634585857391357,,,,,,,,,,,
1996-03-22,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.330716609954834,,,7.950797080993652,,,,7.176872730255127,,,,,,9.116181373596191,,,,,4.405894756317139,6.701600551605225,,,,,,,,,,,
1996-03-25,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.429432392120361,,,7.950797080993652,,,,7.258738040924072,,,,,,9.20555591583252,,,,,4.42556619644165,6.835633277893066,,,,,,,,,,,
1996-03-26,1996,3,,4.8133673667907715,4.31714391708374,,,,,,,,5.429432392120361,,,7.803555965423584,,,,7.258738040924072,,,,,,9.250244140625,,,,,4.44523286819458,6.701600551605225,,,,,,,,,,,
1996-03-27,1996,3,,4.868064880371094,4.262264728546143,,,,,,,,5.330716609954834,,,7.766745567321777,,,,7.231450080871582,,,,,,9.160868644714355,,,,,4.44523286819458,6.668092250823975,,,,,,,,,,,
1996-03-28,1996,3,,4.868064880371094,4.262264728546143,,,,,,,,5.355393409729004,,,7.729937553405762,,,,7.231450080871582,,,,,,9.02680778503418,,,,,4.44523286819458,6.668092250823975,,,,,,,,,,,
1996-03-29,1996,3,,4.8133673667907715,4.298850059509277,,,,,,,,5.306034564971924,,,7.950797080993652,,,,7.231450080871582,,,,,,9.160868644714355,,,,,4.366556167602539,6.668092250823975,,,,,,,,,,,
