label,ticker,exchange,currency,quote_type,total_assets,net_assets,fund_size,fund_size_currency,fund_size_field,long_name,short_name,currency_hedged,currency_hedged_basis,history_start_date,history_end_date,history_rows,history_stale_days,included,reason
Italy,CMIB.L,LSE,EUR,ETF,,,,EUR,,iShares VII Public Limited Company - iShares FTSE MIB UCITS ETF EUR (Acc),ISHARES VII PLC ISHARES FTSE MI,unknown,no_name_marker,,,,,no,no close history returned
Italy_2,EWI,PCX,USD,ETF,676846912.0,676846910.0,676846912.0,USD,totalAssets,iShares MSCI Italy ETF,iShares MSCI Italy ETF,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Japan_1,LCJP.L,LSE,GBP,ETF,,,,GBP,,Amundi Core MSCI Japan UCITS ETF Acc,MULTI UNITS LUXEMBOURG AMUNDI C,unknown,no_name_marker,2018-02-28,2026-03-05,2023.0,1.0,yes,
Japan_2,CJPU.L,LSE,USD,ETF,1291408256.0,1291408260.0,1291408256.0,USD,totalAssets,iShares VII PLC - iShares MSCI Japan ETF USD Acc,ISHARES VII PLC ISHRS MSCI JAPA,unknown,no_name_marker,2010-01-11,2026-03-05,4081.0,1.0,yes,
Japan_3,EWJ,PCX,USD,ETF,20311529472.0,20311529500.0,20311529472.0,USD,totalAssets,iShares MSCI Japan ETF,iShares MSCI Japan Index Fund,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Kuwait,MKUW.L,LSE,USD,ETF,7257191.0,7257191.0,7257191.0,USD,totalAssets,Invesco Markets Plc - Invesco MSCI Kuwait UCITS ETF USD Acc,INVESCO MARKETS PLC INVESCO MSC,unknown,no_name_marker,2019-10-25,2026-03-05,1606.0,1.0,yes,
Kuwait_2,KWT,BTS,USD,ETF,71893232.0,71893232.0,71893232.0,USD,totalAssets,iShares MSCI Kuwait ETF,iShares MSCI Kuwait ETF,unknown,no_name_marker,,,,,no,unsupported exchange BTS
Malaysia,XCX3.L,LSE,GBp,ETF,49146632.0,49146632.0,49146632.0,GBp,totalAssets,Xtrackers MSCI Malaysia UCITS ETF 1C,XTRACKERS X MSCI MALAYSIA 1C,unknown,no_name_marker,2010-06-24,2026-03-05,3961.0,1.0,yes,
Malaysia_2,EWM,PCX,USD,ETF,381327584.0,381327584.0,381327584.0,USD,totalAssets,iShares MSCI Malaysia ETF,iShares MSCI Malaysia Index Fun,unknown,no_name_marker,1996-03-18,2026-03-05,7540.0,1.0,yes,
Mexico,XMEX.L,LSE,GBp,ETF,512311168.0,512311168.0,512311168.0,GBp,totalAssets,Xtrackers MSCI Mexico UCITS ETF 1C,XTRACKERS X MSCI MEXICO,unknown,no_name_marker,2010-03-26,2026-03-05,4026.0,1.0,yes,
